id,tvshows,rating,year,star_cast,,platform,subscription,originals
2394,Freaks and Geeks,8.752745457,1999,"Linda Cardellini, John Francis Daley",,pluto,yes,FALSE
3341,Blackadder Goes Forth,8.743872537,1989,"Rowan Atkinson, Tony Robinson",,hulu,yes,FALSE
8229,Twin Peaks,8.742629099,1990,"Kyle MacLachlan, Michael Ontkean",,youtube,yes,FALSE
6245,Black Mirror,8.73963495,2011,"Daniel Lapaine, Hannah John-Kamen",,null,yes,TRUE
5005,Narcos,8.735082819,2015,"Pedro Pascal, Wagner Moura",,netflix,yes,TRUE
6349,BoJack Horseman,8.734037031,2014,"Will Arnett, Amy Sedaris",,netflix,yes,FALSE
8947,As If,8.730764333,2021,"Feyyaz Yigit, Kivanç Kilinç",,null,yes,FALSE
3920,Succession,8.728639611,2018,"Nicholas Braun, Peter Friedman",,HBO,yes,FALSE
4225,Chappelle's Show,8.725934261,2003,"Dave Chappelle, Donnell Rawlings",,netflix,yes,FALSE
7917,Dragon Ball Z,8.725518281,1989,"Doc Harris, Christopher Sabat",,funimation,yes,TRUE
9360,Dragon Ball Z,8.719225688,1989,"Jôji Yanami, Kyle Hebert",,funimation,yes,TRUE
6261,"I, Claudius",8.712241406,1976,"Derek Jacobi, John Hurt",,youtube,yes,FALSE
3417,One Piece,8.709353572,1999,"Mayumi Tanaka, Laurent Vernin",,netflix,yes,FALSE
8747,South Park,8.699582868,1997,"Trey Parker, Matt Stone",,philo,yes,FALSE
9939,Rome,8.697271481,2005,"Kevin McKidd, Ray Stevenson",,HBO,yes,FALSE
6594,Peaky Blinders,8.694688278,2013,"Cillian Murphy, Paul Anderson",,netflix,yes,FALSE
3871,Six Feet Under,8.69462437,2001,"Peter Krause, Michael C. Hall",,HBO,yes,TRUE
2664,Ted Lasso,8.693621308,2020,"Jason Sudeikis, Brett Goldstein",,null,yes,FALSE
1563,Oz,8.693490396,1997,"Ernie Hudson, J.K. Simmons",,netflix,yes,FALSE
7892,Over the Garden Wall,8.692444464,2014,"Elijah Wood, Collin Dean",,HBO,yes,FALSE
3239,Kota Factory,8.692065857,2019,"Mayur More, Jitendra Kumar",,netflix,yes,TRUE
2104,Dark,8.68072912,2017,"Louis Hofmann, Karoline Eichhorn",,netflix,yes,TRUE
9572,The Mandalorian,8.675001535,2019,"Pedro Pascal, Carl Weathers",,disneyplus,yes,FALSE
6965,Steins;Gate,8.6737212,2011,"Mamoru Miyano, Asami Imai",,null,yes,FALSE
4058,Arrested Development,8.670804116,2003,"Jason Bateman, Michael Cera",,netflix,yes,FALSE
2001,The Boys,8.664309024,2019,"Karl Urban, Jack Quaid",,prime,yes,TRUE
6356,One Punch Man,8.663020699,2015,"Makoto Furukawa, Kaito Ishikawa",,netflix,yes,FALSE
9662,The Simpsons,8.658605878,1989,"Dan Castellaneta, Nancy Cartwright",,fox,yes,FALSE
1377,Fleabag,8.653796362,2016,"Phoebe Waller-Bridge, Sian Clifford",,prime,yes,FALSE
1538,The Shield,8.652777339,2002,"Michael Chiklis, Jay Karnes",,netflix,yes,FALSE
6208,House MD,8.651708918,2004,"Hugh Laurie, Omar Epps",,prime,yes,FALSE
5752,Battlestar Galactica,8.650100888,2004,"Edward James Olmos, Mary McDonnell",,peacocktv,yes,FALSE
2758,Stranger Things,8.646169511,2016,"Millie Bobby Brown, Finn Wolfhard",,netflix,yes,TRUE
8106,Downton Abbey,8.64544626,2010,"Hugh Bonneville, Phyllis Logan",,prime,yes,FALSE
6703,Gullak,8.641013656,2019,"Jameel Khan, Geetanjali Kulkarni",,sling,yes,TRUE
6659,Sarabhai V/S Sarabhai,8.639060967,2004,"Satish Shah, Ratna Pathak Shah",,hullu,yes,FALSE
6253,Invincible,8.638117515,2021,"Steven Yeun, J.K. Simmons",,prime,yes,FALSE
5244,Panchayat,8.632504144,2020,"Jitendra Kumar, Raghuvir Yadav",,prime,yes,TRUE
6158,Mad Men,8.632217696,2007,"Jon Hamm, Elisabeth Moss",,prime,yes,FALSE
