,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
101,300,2006,117,7.6,52.0,820679,210.61
102,Drive,2011,100,7.8,78.0,639837,35.06
103,The Lord of the Rings: The Return of the King,2003,201,9.0,94.0,1838462,377.85
104,Come and See,1985,142,8.4,Null,80417,Null
105,Deadpool,2016,108,8.0,65.0,1034717,363.07
106,CODA,2021,111,8.0,72.0,131538,Null
107,Deadpool 2,2018,119,7.7,66.0,581268,324.59
108,The Notebook,2004,123,7.8,53.0,573378,81.0
109,Heat,1995,170,8.3,76.0,653912,67.44
110,Ghostbusters,1984,105,7.8,71.0,416485,238.63
111,A Clockwork Orange,1971,136,8.3,77.0,828926,6.21
112,About Time,2013,123,7.8,55.0,351343,15.32
113,Gone Girl,2014,149,8.1,79.0,979594,167.77
114,Dunkirk,2017,106,7.8,94.0,656835,188.37
115,Miracle on 34th Street,1947,96,7.9,88.0,48299,2.65
116,The Irishman,2019,209,7.8,94.0,387563,7.0
117,The Truman Show,1998,103,8.2,90.0,1076844,125.62
118,Hacksaw Ridge,2016,139,8.1,71.0,524599,67.21
119,Zack Snyder's Justice League,2021,242,8.0,54.0,396884,Null
120,Green Book,2018,130,8.2,69.0,489476,85.08
121,Reservoir Dogs,1992,99,8.3,79.0,1015465,2.83
122,Arrival,2016,116,7.9,81.0,693399,100.55
123,Black Swan,2010,108,8.0,79.0,766791,106.95
124,All Quiet on the Western Front,1930,152,8.1,91.0,63103,3.27
125,12 Angry Men,1957,96,9.0,96.0,787632,4.36
126,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,63.0,1124801,305.41
127,The Last of the Mohicans,1992,112,7.7,76.0,171820,75.51
128,Thirteen Lives,2022,147,7.8,66.0,50562,Null
129,The Dark Knight Rises,2012,164,8.4,78.0,1698812,448.14
130,Rocky,1976,120,8.1,70.0,575711,117.24
131,Superbad,2007,113,7.6,76.0,581143,121.46
132,The Fifth Element,1997,126,7.6,52.0,474961,63.54
133,Full Metal Jacket,1987,116,8.3,76.0,742023,46.36
134,The Avengers,2012,143,8.0,69.0,1387894,623.28
135,The Lion King,1994,88,8.5,88.0,1054493,422.78
136,The Usual Suspects,1995,106,8.5,77.0,1082814,23.34
137,Snatch,2000,102,8.2,55.0,855060,30.33
138,The Exorcist,1973,122,8.1,81.0,408925,232.91
139,The Big Lebowski,1998,117,8.1,71.0,807820,17.5
140,Spirited Away,2001,125,8.6,96.0,760292,10.06
141,One Flew Over the Cuckoo's Nest,1975,133,8.7,84.0,1005515,112.0
142,North by Northwest,1959,136,8.3,98.0,328638,13.28
143,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65.0,548228,295.98
144,Braveheart,1995,178,8.4,68.0,1036199,75.6
145,The Hobbit: An Unexpected Journey,2012,169,7.8,58.0,828234,303.0
146,Ocean's Eleven,2001,116,7.7,74.0,575452,183.42
147,Dead Poets Society,1989,128,8.1,79.0,490624,95.86
148,Casino Royale,2006,144,8.0,80.0,657970,167.45
149,Kill Bill: Vol. 1,2003,111,8.2,69.0,1112641,70.1
