,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
450,The Great Escape,1963,172,8.2,86.0,245263,12.1
451,The Skin I Live In,2011,120,7.6,70.0,154065,3.19
452,Hachi: A Dog's Tale,2009,93,8.1,Null,285672,Null
453,Rear Window,1954,112,8.5,100.0,491591,36.76
454,The Thin Red Line,1998,170,7.6,78.0,188876,36.4
455,Empire of the Sun,1987,153,7.7,62.0,126757,22.24
456,Isle of Dogs,2018,101,7.8,82.0,169777,32.02
457,Chungking Express,1994,102,8.0,78.0,82921,0.6
458,Singin' in the Rain,1952,103,8.3,99.0,243034,8.82
459,Dogville,2003,178,8.0,60.0,149816,1.53
460,Wild Tales,2014,122,8.1,77.0,199100,3.11
461,Metropolis,1927,153,8.3,98.0,175027,1.24
462,K.G.F: Chapter 2,2022,168,8.4,Null,132077,Null
463,The Wrestler,2008,109,7.9,80.0,307253,26.24
464,The Invisible Guest,2016,106,8.0,Null,176479,Null
465,I Saw the Devil,2010,144,7.8,67.0,131710,0.13
466,Dark City,1998,100,7.6,66.0,201188,14.38
467,Being John Malkovich,1999,113,7.8,90.0,336916,22.86
468,The Bourne Supremacy,2004,108,7.7,73.0,464950,176.24
469,The Secret in Their Eyes,2009,129,8.2,80.0,210414,6.39
470,Run Lola Run,1998,80,7.7,77.0,199845,7.27
471,Midnight Cowboy,1969,113,7.8,79.0,111877,44.79
472,Stalker,1979,162,8.1,Null,134916,0.23
473,Malcolm X,1992,202,7.7,73.0,95523,48.17
474,Toy Story 2,1999,92,7.9,88.0,581332,245.85
475,Lion,2016,118,8.0,69.0,237162,51.74
476,Tumbbad,2018,104,8.2,Null,49453,Null
477,A Man Called Ove,2015,116,7.7,70.0,56314,3.36
478,Akira,1988,124,8.0,67.0,187510,0.55
479,Straight Outta Compton,2015,147,7.8,72.0,203292,161.2
480,The Iron Giant,1999,86,8.1,85.0,198905,23.16
481,The Dirty Dozen,1967,150,7.7,73.0,74357,45.3
482,Life of Brian,1979,94,8.0,77.0,400457,20.05
483,The Road Warrior,1981,96,7.6,77.0,181994,12.47
484,"Crouching Tiger, Hidden Dragon",2000,120,7.9,94.0,270279,128.08
485,Star Trek II: The Wrath of Khan,1982,113,7.7,68.0,122558,78.91
486,"Paris, Texas",1984,145,8.1,80.0,107136,2.18
487,Gone Baby Gone,2007,114,7.6,72.0,273414,20.3
488,Glengarry Glen Ross,1992,100,7.7,82.0,106558,10.73
489,Awakenings,1990,121,7.8,74.0,142892,52.1
490,The Ten Commandments,1956,220,7.9,Null,71571,93.74
491,The Trial of the Chicago 7,2020,129,7.7,76.0,177769,Null
492,Billy Elliot,2000,110,7.7,74.0,135779,22.0
493,End of Watch,2012,109,7.6,68.0,250094,41.0
494,Butch Cassidy and the Sundance Kid,1969,110,8.0,66.0,216834,102.31
495,Traffic,2000,147,7.6,86.0,208413,124.12
496,Roma,2018,135,7.7,96.0,158997,Null
497,Boyz n the Hood,1991,112,7.8,76.0,141911,57.5
498,25th Hour,2002,135,7.6,68.0,179696,13.06
499,Carlito's Way,1993,144,7.9,65.0,219585,36.95
500,Hunt for the Wilderpeople,2016,101,7.8,81.0,131459,5.2
501,Boyhood,2014,165,7.9,100.0,355254,25.38
502,Annie Hall,1977,93,8.0,92.0,266481,39.2
503,Dog Day Afternoon,1975,125,8.0,86.0,258117,50.0
504,The Searchers,1956,119,7.9,94.0,90182,Null
505,Bonnie and Clyde,1967,111,7.7,86.0,113976,Null
506,Freaks,1932,64,7.8,80.0,47106,0.63
507,Before Sunset,2004,80,8.1,90.0,264904,5.82
508,A Fistful of Dollars,1964,99,7.9,65.0,218443,14.5
509,The Holy Mountain,1973,114,7.8,76.0,43727,0.06
510,Flipped,2010,90,7.7,45.0,90826,1.75
511,The Bourne Ultimatum,2007,115,8.0,85.0,635650,227.47
512,What Ever Happened to Baby Jane?,1962,134,8.0,75.0,57207,4.05
513,Double Indemnity,1944,107,8.3,95.0,158070,5.72
514,The Girl with the Dragon Tattoo,2009,152,7.8,76.0,217531,10.1
515,Solaris,1972,167,8.0,90.0,92036,Null
516,Match Point,2005,124,7.6,72.0,219246,23.09
517,Sling Blade,1996,135,8.0,84.0,94598,24.48
518,The Magnificent Seven,1960,128,7.7,74.0,95733,4.91
519,This Is England,2006,101,7.7,86.0,123105,0.33
520,All the President's Men,1976,138,7.9,84.0,116700,70.6
521,Sunset Blvd.,1950,110,8.4,Null,222504,Null
522,Ben-Hur,1959,212,8.1,90.0,239995,74.7
523,The Longest Day,1962,178,7.7,75.0,56437,39.1
524,Charade,1963,113,7.9,83.0,78560,13.47
525,Network,1976,121,8.1,83.0,160402,Null
526,Searching,2018,102,7.6,71.0,163688,26.02
527,Adaptation.,2002,115,7.7,83.0,193779,22.25
528,Night of the Living Dead,1968,96,7.8,89.0,130443,0.09
529,I Am Sam,2001,132,7.6,28.0,150841,40.31
530,Rushmore,1998,93,7.6,86.0,186656,17.11
531,Dark Waters,2019,126,7.6,73.0,89403,Null
532,The French Connection,1971,104,7.7,94.0,123902,15.63
533,Baahubali: The Beginning,2015,159,8.0,Null,125858,6.74
534,Spartacus,1960,197,7.9,87.0,135775,30.0
535,The Jungle Book,1967,78,7.6,65.0,184257,141.84
536,The Birds,1963,119,7.6,90.0,190658,11.4
537,The Last Picture Show,1971,118,8.0,93.0,48884,29.13
538,Snow White and the Seven Dwarfs,1937,83,7.6,95.0,200675,184.93
539,Ikiru,1952,143,8.3,91.0,79103,0.06
540,777 Charlie,2022,164,8.9,Null,30820,Null
541,The Fall,2006,117,7.8,64.0,112947,2.28
542,Kung Fu Hustle,2004,99,7.7,78.0,140887,17.11
543,Do the Right Thing,1989,120,7.9,93.0,103044,27.55
544,Harold and Maude,1971,91,7.9,62.0,78050,Null
545,The Bridge on the River Kwai,1957,161,8.2,87.0,221554,44.91
546,Kaithi,2019,145,8.5,Null,32607,Null
547,Nosferatu,1922,94,7.9,Null,98501,Null
548,The World's Fastest Indian,2005,127,7.8,68.0,55482,5.13
549,The Seventh Seal,1957,96,8.1,88.0,185977,Null
550,Rocketry: The Nambi Effect,2022,157,8.8,Null,49876,Null
551,Vikram,2022,175,8.4,Null,57556,Null
552,The Great Beauty,2013,141,7.7,86.0,91581,2.85
553,For a Few Dollars More,1965,132,8.2,74.0,257429,15.0
554,Evil Dead II,1987,84,7.7,72.0,166243,5.92
555,Changeling,2008,141,7.8,63.0,256579,35.74
556,How to Train Your Dragon 2,2014,102,7.8,77.0,336798,177.0
557,Amores perros,2000,154,8.1,83.0,241252,5.38
558,Gandhi,1982,191,8.1,79.0,232404,52.77
559,Enter the Dragon,1973,102,7.6,83.0,105425,25.0
560,Ordinary People,1980,124,7.7,86.0,52879,54.8
561,Seven Pounds,2008,123,7.6,36.0,304033,69.95
562,Glory,1989,122,7.8,78.0,136009,26.83
563,Touch of Evil,1958,95,8.0,99.0,105252,2.24
564,A Silent Voice: The Movie,2016,130,8.1,78.0,82368,Null
565,A Separation,2011,123,8.3,95.0,245677,7.1
566,The Wild Bunch,1969,135,7.9,97.0,85332,12.06
567,Fiddler on the Roof,1971,181,8.0,67.0,44017,80.5
568,Dawn of the Planet of the Apes,2014,130,7.6,79.0,442861,208.55
569,Ran,1985,162,8.2,96.0,126315,4.14
570,Lord of War,2005,122,7.6,62.0,318871,24.15
571,Detachment,2011,98,7.7,52.0,87000,0.07
572,Serpico,1973,130,7.7,81.0,124256,29.8
573,Ghost in the Shell,1995,83,7.9,76.0,144048,0.52
574,The Name of the Rose,1986,130,7.7,54.0,109628,7.15
575,Lucky Number Slevin,2006,110,7.7,53.0,314496,22.49
576,The Raid: Redemption,2011,101,7.6,73.0,205759,4.11
577,In the Name of the Father,1993,133,8.1,84.0,175917,25.01
578,A Very Long Engagement,2004,133,7.6,76.0,74185,6.17
579,The Verdict,1982,129,7.7,77.0,41069,54.0
580,Dawn of the Dead,1978,127,7.8,71.0,122081,5.1
581,Ed Wood,1994,127,7.8,70.0,177308,5.89
582,The Conversation,1974,113,7.8,87.0,112931,4.42
583,The Maltese Falcon,1941,100,8.0,97.0,159424,2.11
584,Paths of Glory,1957,88,8.4,90.0,197962,Null
585,My Fair Lady,1964,170,7.8,95.0,96213,72.0
586,The King of Comedy,1982,109,7.8,73.0,104961,2.5
587,The Outlaw Josey Wales,1976,135,7.8,69.0,74601,31.8
588,Before Midnight,2013,109,7.9,94.0,159253,8.11
589,21 Grams,2003,124,7.6,70.0,238086,16.29
590,K.G.F: Chapter 1,2018,156,8.2,Null,86964,Null
591,Demon Slayer the Movie: Mugen Train,2020,117,8.2,72.0,58187,47.7
592,Harakiri,1962,133,8.6,85.0,57455,Null
593,A Streetcar Named Desire,1951,122,7.9,97.0,109016,8.0
594,Drishyam,2013,160,8.3,Null,41817,Null
595,Paper Moon,1973,102,8.1,77.0,48273,30.93
596,Papillon,1973,151,8.0,58.0,131439,53.27
597,M,1931,99,8.3,Null,158663,0.03
598,Hero,2002,120,7.9,85.0,182138,53.71
599,Ponyo,2008,101,7.6,86.0,145023,15.09
600,The Best Offer,2013,131,7.8,49.0,120196,0.09
601,Cabaret,1972,124,7.8,80.0,55710,42.77
602,The Best Years of Our Lives,1946,170,8.1,93.0,65159,23.65
603,Pride,2014,119,7.8,79.0,57965,Null
604,The Insider,1999,157,7.8,84.0,172199,28.97
605,Togo,2019,113,7.9,69.0,49487,Null
606,Being There,1979,130,8.0,83.0,73299,30.18
607,The Bridges of Madison County,1995,135,7.6,69.0,82625,71.52
608,Paprika,2006,90,7.7,81.0,84348,0.88
609,Mississippi Burning,1988,128,7.8,65.0,101735,34.6
610,Ip Man,2008,106,8.0,59.0,224687,Null
611,Kiki's Delivery Service,1989,103,7.8,83.0,145699,Null
612,Rebel Without a Cause,1955,111,7.6,89.0,91746,Null
613,On the Waterfront,1954,108,8.1,91.0,155916,9.6
614,The Last King of Scotland,2006,123,7.6,74.0,187393,17.61
615,The Remains of the Day,1993,134,7.8,86.0,75300,22.95
616,Hotel Rwanda,2004,121,8.1,79.0,356387,23.53
617,Shoplifters,2018,121,7.9,93.0,77253,3.31
618,Cinderella Man,2005,144,8.0,69.0,188937,61.65
619,The Great Dictator,1940,125,8.4,Null,224470,0.29
620,50/50,2011,100,7.6,72.0,331522,35.01
621,8½,1963,138,8.0,91.0,118648,0.05
622,You Can't Take It with You,1938,126,7.8,Null,26163,4.66
623,Rebecca,1940,130,8.1,86.0,137994,4.36
624,Persona,1966,83,8.1,86.0,119497,Null
625,The Right Stuff,1983,193,7.8,91.0,62013,21.5
626,Me and Earl and the Dying Girl,2015,105,7.7,74.0,132677,6.74
627,A Wednesday,2008,104,8.1,Null,79038,Null
628,In the Heat of the Night,1967,110,7.9,75.0,77075,24.38
629,Belle de Jour,1967,100,7.7,Null,45355,0.03
630,Finding Neverland,2004,106,7.7,67.0,207195,51.68
631,October Sky,1999,108,7.8,71.0,91967,32.48
632,High Noon,1952,85,8.0,89.0,105040,9.45
633,Barton Fink,1991,116,7.6,69.0,122791,6.15
634,The Third Man,1949,93,8.1,97.0,172436,0.45
635,Sing Street,2016,106,7.9,79.0,94406,3.24
636,From Here to Eternity,1953,118,7.6,85.0,47550,30.5
637,Kramer vs. Kramer,1979,105,7.8,77.0,146236,106.26
638,Wings of Desire,1987,128,8.0,79.0,71744,3.33
639,Miller's Crossing,1990,115,7.7,66.0,136181,5.08
640,Roman Holiday,1953,118,8.0,78.0,139360,Null
641,Witness for the Prosecution,1957,116,8.4,76.0,126039,8.18
642,Baahubali 2: The Conclusion,2017,167,8.2,Null,102203,20.19
643,The Killing Fields,1984,141,7.8,76.0,56055,34.7
644,Dial M for Murder,1954,105,8.2,75.0,176760,0.01
645,Patton,1970,172,7.9,91.0,102857,61.7
646,Mother,2009,129,7.8,79.0,65114,0.55
647,Jai Bhim,2021,164,8.9,Null,201605,Null
648,All About Eve,1950,138,8.2,98.0,132000,0.01
649,Red River,1948,133,7.8,Null,31707,Null
650,Nausicaä of the Valley of the Wind,1984,117,8.0,86.0,170064,0.5
651,Dancer in the Dark,2000,140,7.9,61.0,110749,4.18
652,Days of Heaven,1978,94,7.8,93.0,58803,Null
653,Mommy,2014,139,8.0,74.0,57582,3.49
654,Wolfwalkers,2020,103,8.0,87.0,32764,Null
655,Guess Who's Coming to Dinner,1967,108,7.8,63.0,45826,56.7
656,Happiness,1998,134,7.7,81.0,70887,2.81
657,Castle in the Sky,1986,125,8.0,78.0,167373,Null
658,Sabrina,1954,113,7.6,72.0,65800,Null
659,Infernal Affairs,2002,101,8.0,75.0,125411,0.17
660,All That Jazz,1979,123,7.8,72.0,32445,37.82
661,The Celebration,1998,105,8.1,82.0,87697,1.65
662,Three Colors: Blue,1993,94,7.9,85.0,102957,1.32
663,King Kong,1933,100,7.9,90.0,86237,10.0
664,Fanny and Alexander,1982,188,8.1,100.0,64129,4.97
665,Beasts of No Nation,2015,137,7.7,79.0,82061,0.08
666,Mirror,1975,107,8.0,80.0,47366,0.18
667,Hannah and Her Sisters,1986,107,7.9,90.0,72173,40.08
668,Judgment at Nuremberg,1961,179,8.3,60.0,78211,Null
669,La dolce vita,1960,174,8.0,95.0,73837,19.52
670,Batman: Mask of the Phantasm,1993,76,7.8,65.0,51833,5.62
671,"Spring, Summer, Fall, Winter... and Spring",2003,103,8.0,85.0,83494,2.38
672,Badlands,1973,94,7.7,93.0,73700,Null
673,Fantasia,1940,125,7.7,96.0,97386,76.41
674,Amour,2012,127,7.9,94.0,101084,6.74
675,Frankenstein,1931,70,7.8,91.0,73999,Null
676,Breaking the Waves,1996,159,7.8,76.0,67674,4.04
677,Open Your Eyes,1997,119,7.7,Null,69858,0.37
678,Kubo and the Two Strings,2016,101,7.7,84.0,130042,48.02
679,Laura,1944,88,7.9,Null,47988,4.36
680,The Hustler,1961,134,8.0,90.0,82601,8.28
681,The Philadelphia Story,1940,112,7.9,96.0,69882,Null
682,It Happened One Night,1934,105,8.1,87.0,104694,4.36
683,My Left Foot,1989,103,7.9,97.0,75023,14.74
684,Rashomon,1950,88,8.2,98.0,169313,0.1
685,Dragon Ball Super: Broly,2018,100,7.7,59.0,28225,30.71
686,Rope,1948,80,7.9,73.0,144641,Null
687,Pink Floyd: The Wall,1982,95,8.0,47.0,81648,22.24
688,Neon Genesis Evangelion: The End of Evangelion,1997,87,8.0,Null,55570,Null
689,Arsenic and Old Lace,1944,118,7.9,Null,71522,Null
690,The Thin Man,1934,91,7.9,86.0,30260,Null
691,The Man Who Shot Liberty Valance,1962,123,8.1,94.0,76734,Null
692,Ray,2004,152,7.7,73.0,148949,75.33
693,The Wind Rises,2013,126,7.7,83.0,86837,5.21
694,The Legend of 1900,1998,169,8.0,58.0,64933,0.26
695,Andhadhun,2018,139,8.2,Null,93963,1.37
696,"I, Daniel Blake",2016,100,7.8,78.0,60624,0.26
697,Nebraska,2013,115,7.7,86.0,118918,17.65
698,The Cabinet of Dr. Caligari,1920,67,8.0,Null,64701,Null
699,PK,2014,153,8.1,Null,188771,10.62
700,The Quiet Man,1952,129,7.7,85.0,39251,10.55
701,The Artist,2011,100,7.9,89.0,242082,44.67
702,Once,2007,86,7.8,89.0,117169,9.44
703,Letters from Iwo Jima,2006,141,7.9,89.0,163633,13.76
704,The Grapes of Wrath,1940,129,8.1,96.0,93878,0.06
705,Out of the Past,1947,97,8.0,85.0,37893,Null
706,Gangs of Wasseypur,2012,321,8.2,89.0,96850,Null
707,Breathless,1960,90,7.7,Null,82595,0.34
708,Mary and Max,2009,92,8.1,Null,177895,Null
709,Modern Times,1936,87,8.5,96.0,242878,0.16
710,Black Book,2006,145,7.7,71.0,77402,4.4
711,Joyeux Noel,2005,116,7.7,70.0,30032,1.05
712,Manhattan,1979,96,7.9,83.0,141020,45.7
713,Three Colors: Red,1994,99,8.1,100.0,103901,4.04
714,Stagecoach,1939,96,7.8,93.0,49667,Null
715,Hamlet,1996,242,7.8,Null,38488,4.41
716,The Raid 2,2014,150,7.9,71.0,124096,2.63
717,Who's Afraid of Virginia Woolf?,1966,131,8.0,75.0,75944,Null
718,Mr. Smith Goes to Washington,1939,129,8.1,73.0,116290,9.6
719,Strangers on a Train,1951,101,7.9,88.0,134713,7.63
720,"South Park: Bigger, Longer & Uncut",1999,81,7.7,73.0,205746,52.04
721,The Night of the Hunter,1955,92,8.0,99.0,90192,0.65
722,The Lion in Winter,1968,134,7.9,Null,31868,22.28
723,United 93,2006,111,7.6,90.0,107106,31.57
724,Loving Vincent,2017,94,7.8,62.0,58568,6.74
725,Control,2007,122,7.6,78.0,65868,0.87
726,The Big Sleep,1946,114,7.9,86.0,86347,6.54
727,Perfect Strangers,2016,96,7.7,Null,65963,Null
728,Invasion of the Body Snatchers,1956,80,7.7,92.0,50786,Null
729,Notorious,1946,102,7.9,100.0,101864,10.46
730,The Vanishing,1988,107,7.7,Null,39741,Null
731,Bicycle Thieves,1948,89,8.3,Null,164206,0.33
732,Dangal,2016,161,8.3,Null,191649,12.39
733,Good Bye Lenin!,2003,121,7.7,68.0,146992,4.06
734,The White Ribbon,2009,144,7.8,82.0,74186,2.22
735,Whisper of the Heart,1995,111,7.9,75.0,63444,Null
736,The 400 Blows,1959,99,8.1,Null,118736,Null
737,The African Queen,1951,105,7.7,91.0,79384,0.54
738,All About My Mother,1999,101,7.8,87.0,97626,8.26
739,City Lights,1931,87,8.5,99.0,185223,0.02
740,The Man from Nowhere,2010,119,7.7,Null,70329,0.01
741,Talk to Her,2002,112,7.9,86.0,113135,9.28
742,Zulu,1964,138,7.7,77.0,39684,Null
743,The Day the Earth Stood Still,1951,92,7.8,Null,82482,Null
744,Lilya 4-Ever,2002,109,7.8,82.0,46178,0.18
745,The Chaser,2008,125,7.8,64.0,67154,Null
746,The Killing,1956,84,8.0,91.0,90609,Null
747,Short Cuts,1993,188,7.7,79.0,45338,6.11
748,Miracle in Cell No. 7,2019,132,8.2,Null,49311,Null
749,Fantastic Planet,1973,72,7.7,73.0,32082,0.19
750,Zindagi Na Milegi Dobara,2011,155,8.2,Null,79101,3.11
751,Short Term 12,2013,96,7.9,82.0,88346,1.01
752,The Straight Story,1999,112,8.0,86.0,91210,6.2
753,Kind Hearts and Coronets,1949,106,8.0,Null,37708,Null
754,The Double Life of Véronique,1991,98,7.7,86.0,49300,2.0
755,Waking Life,2001,99,7.7,83.0,64659,2.89
756,The Day of the Jackal,1973,143,7.8,80.0,41546,16.06
757,The Treasure of the Sierra Madre,1948,126,8.2,98.0,125618,5.01
758,Anatomy of a Murder,1959,161,8.0,95.0,66932,11.9
759,Secrets & Lies,1996,136,8.0,91.0,43883,13.42
760,The Adventures of Robin Hood,1938,102,7.9,97.0,51573,3.98
761,Tokyo Godfathers,2003,92,7.8,73.0,41088,0.13
762,Children of Heaven,1997,89,8.2,77.0,75316,0.93
763,Yojimbo,1961,110,8.2,93.0,123571,Null
764,Wild Strawberries,1957,91,8.1,88.0,108014,Null
765,The General,1926,67,8.2,Null,92079,1.03
766,Land of Mine,2015,100,7.8,75.0,41835,0.44
767,Shadow of a Doubt,1943,108,7.8,94.0,66258,Null
768,Wait Until Dark,1967,108,7.7,81.0,31282,17.55
769,The Leopard,1963,186,8.0,100.0,26334,Null
770,Persepolis,2007,96,8.0,90.0,95458,4.45
771,The Odd Couple,1968,105,7.6,86.0,35375,44.53
772,Joint Security Area,2000,110,7.8,58.0,30908,Null
773,The Taking of Pelham One Two Three,1974,104,7.6,68.0,31369,2.49
774,Song of the Sea,2014,93,8.0,85.0,58953,0.86
775,Raatchasan,2018,170,8.3,Null,44994,Null
776,In Cold Blood,1967,134,7.9,89.0,26933,Null
777,High and Low,1963,143,8.4,90.0,45426,Null
778,The Station Agent,2003,89,7.6,81.0,71010,5.74
779,The Invisible Man,1933,71,7.6,87.0,36292,Null
780,His Girl Friday,1940,92,7.8,Null,59342,0.3
781,Shershaah,2021,135,8.4,Null,121604,Null
782,Farewell My Concubine,1993,171,8.1,83.0,29516,5.22
783,The Motorcycle Diaries,2004,126,7.8,75.0,101858,16.78
784,The Diving Bell and the Butterfly,2007,112,8.0,92.0,108059,5.99
785,Hard Boiled,1992,128,7.7,Null,51068,Null
786,Elite Squad,2007,115,8.0,33.0,104784,0.01
787,The Bride of Frankenstein,1935,75,7.8,95.0,49468,4.36
788,Z,1969,127,8.2,86.0,29191,0.08
789,"Quo Vadis, Aida?",2020,101,8.0,97.0,33831,Null
790,A Prophet,2009,155,7.8,90.0,99053,2.08
791,Philomena,2013,98,7.6,77.0,100654,37.71
792,Harvey,1950,104,7.9,Null,55997,Null
793,"Aguirre, the Wrath of God",1972,95,7.8,Null,57802,Null
794,A Woman Under the Influence,1974,155,8.1,88.0,25665,13.34
795,Happy Together,1997,96,7.7,70.0,30122,0.19
796,The Little Prince,2015,108,7.7,70.0,62711,1.34
797,Kagemusha,1980,162,7.9,84.0,36024,Null
798,L'Avventura,1960,144,7.8,Null,30235,Null
799,The Sacrifice,1986,149,7.9,Null,28670,0.3
800,Like Stars on Earth,2007,165,8.4,Null,194008,1.22
801,Underground,1995,167,8.1,79.0,58807,0.17
802,Porco Rosso,1992,94,7.7,83.0,90611,Null
803,To Be or Not to Be,1942,99,8.2,86.0,37914,Null
804,Tokyo Story,1953,136,8.2,Null,62267,Null
805,Mildred Pierce,1945,111,7.9,88.0,26334,Null
806,When Marnie Was There,2014,103,7.7,72.0,41280,0.77
807,Taste of Cherry,1997,95,7.7,80.0,31699,0.31
808,Leviathan,2014,140,7.6,92.0,53992,1.09
809,Article 15,2019,130,8.1,Null,34062,Null
810,East of Eden,1955,118,7.8,72.0,46028,Null
811,Eyes Without a Face,1960,90,7.6,90.0,32304,0.05
812,Le Samouraï,1967,101,8.0,Null,52162,0.04
813,3-Iron,2004,88,7.9,72.0,55611,0.24
814,My Sassy Girl,2001,137,8.0,Null,48543,Null
815,Sweet Smell of Success,1957,96,8.0,100.0,32753,Null
816,The Tale of The Princess Kaguya,2013,137,8.0,89.0,47375,1.51
817,Repulsion,1965,105,7.6,91.0,53901,Null
818,Night on Earth,1991,129,7.7,68.0,61268,2.02
819,The Chorus,2004,97,7.8,56.0,62876,3.64
820,Head-On,2004,121,7.9,78.0,54709,Null
821,Swades,2004,189,8.2,Null,91282,1.22
822,Once Were Warriors,1994,102,7.9,77.0,34713,2.2
823,Scarface,1932,93,7.7,87.0,28388,Null
824,Bajrangi Bhaijaan,2015,163,8.1,Null,88918,8.18
825,Andrei Rublev,1966,205,8.1,Null,54066,0.1
826,Sardar Udham,2021,164,8.4,Null,42556,Null
827,The Passion of Joan of Arc,1928,114,8.2,Null,55401,0.02
828,Brief Encounter,1945,86,8.0,92.0,40649,Null
829,The Umbrellas of Cherbourg,1964,91,7.8,86.0,28130,0.03
830,Cape Fear,1962,106,7.7,76.0,29713,Null
831,My Name Is Khan,2010,165,7.9,50.0,107830,4.02
832,White Heat,1949,114,8.1,Null,33387,Null
833,Kal Ho Naa Ho,2003,186,7.9,54.0,70026,1.79
834,The Conformist,1970,113,7.9,100.0,30981,0.54
835,Fitzcarraldo,1982,158,8.0,Null,35530,Null
836,The Kid,1921,68,8.3,Null,127023,5.45
837,The Wages of Fear,1953,131,8.2,85.0,61756,Null
838,Evil,2003,113,7.7,61.0,39146,0.02
839,Hedwig and the Angry Inch,2001,95,7.7,85.0,36020,3.03
840,The Breadwinner,2017,94,7.7,78.0,25912,0.31
841,The Red Shoes,1948,135,8.1,Null,35537,10.9
842,Lagaan: Once Upon a Time in India,2001,224,8.1,84.0,115031,0.07
843,A Man for All Seasons,1966,120,7.7,72.0,34957,28.35
844,The 39 Steps,1935,86,7.6,93.0,57689,Null
845,The Gold Rush,1925,95,8.2,Null,111998,5.45
846,Jules and Jim,1962,105,7.7,97.0,42049,Null
847,The Lady Vanishes,1938,96,7.8,98.0,53259,Null
848,Sleuth,1972,138,8.0,Null,48080,4.08
849,The Asphalt Jungle,1950,112,7.8,85.0,27751,Null
850,The Sea Inside,2004,126,8.0,74.0,82276,2.09
851,Stalag 17,1953,120,8.0,84.0,56254,Null
852,Vikram Vedha,2017,147,8.3,Null,45550,Null
853,Cowboy Bebop: The Movie,2001,115,7.8,61.0,49376,1.0
854,"Black Cat, White Cat",1998,127,8.0,73.0,54293,0.35
855,The Salesman,2016,124,7.7,85.0,60985,2.4
856,The Experiment,2001,120,7.7,60.0,94207,0.14
857,I Remember,1973,123,7.9,Null,44048,0.58
858,Dilwale Dulhania Le Jayenge,1995,181,8.0,Null,70333,Null
859,The Battle of Algiers,1966,121,8.1,96.0,60726,0.06
860,The Big Heat,1953,89,7.9,Null,27085,Null
861,Throne of Blood,1957,110,8.1,Null,52664,Null
862,Bringing Up Baby,1938,102,7.8,91.0,62115,Null
863,The Lunchbox,2013,104,7.8,76.0,56822,4.23
864,In a Lonely Place,1950,94,7.9,Null,32135,Null
865,Key Largo,1948,100,7.7,Null,41490,Null
866,Nostalghia,1983,125,8.0,Null,27498,0.01
867,Dersu Uzala,1975,142,8.2,Null,30183,Null
868,The Man Who Would Be King,1975,129,7.8,91.0,49487,Null
869,Vivre Sa Vie,1962,85,7.9,Null,32523,Null
870,Diabolique,1955,117,8.1,Null,66353,1.09
871,Pather Panchali,1955,125,8.3,Null,33438,0.54
872,The Discreet Charm of the Bourgeoisie,1972,102,7.8,93.0,43567,0.2
873,Shine,1996,105,7.6,87.0,54603,35.81
874,Adam's Apples,2005,94,7.7,51.0,51261,0.0
875,Confessions,2010,106,7.7,Null,39631,Null
876,Frost/Nixon,2008,122,7.7,80.0,108760,18.59
877,In America,2002,105,7.7,76.0,43375,15.54
878,Crimes and Misdemeanors,1989,104,7.8,77.0,58467,18.25
879,Ninja Scroll,1993,94,7.8,Null,37932,Null
880,Veer Zaara,2004,192,7.8,67.0,53727,2.92
881,Ace in the Hole,1951,111,8.1,72.0,36441,3.97
882,The Broken Circle Breakdown,2012,111,7.7,70.0,41450,0.18
883,The Innocents,1961,100,7.8,88.0,30976,2.62
884,Nobody Knows,2004,141,8.0,88.0,28455,0.68
885,Cries & Whispers,1972,91,8.0,Null,34572,1.74
886,Autumn Sonata,1978,99,8.1,Null,34830,Null
887,Winter Sleep,2014,196,8.1,88.0,52019,0.17
888,Sullivan's Travels,1941,90,7.9,Null,26697,Null
889,Wolf Children,2012,117,8.1,71.0,45383,Null
890,"Goodbye, Children",1987,104,8.0,88.0,34267,4.54
891,My Father and My Son,2005,112,8.2,Null,87165,Null
892,The Triplets of Belleville,2003,80,7.7,91.0,54849,7.0
893,Nine Queens,2000,114,7.9,80.0,53515,1.22
894,The Hidden Fortress,1958,126,8.1,89.0,39523,Null
895,The Girl Who Leapt Through Time,2006,98,7.7,Null,66893,Null
896,Dreams,1990,119,7.7,Null,26848,1.96
897,The Postman,1994,108,7.7,81.0,36891,21.85
898,Gully Boy,2019,154,7.9,65.0,40127,5.57
899,The Killer,1989,111,7.8,82.0,48840,Null
900,The Exterminating Angel,1962,95,8.0,Null,33568,Null
901,Time of the Gypsies,1988,142,8.1,Null,31052,0.28
902,Duck Soup,1933,69,7.8,93.0,60488,Null
903,Sunrise,1927,94,8.1,Null,51398,0.54
904,Le Cercle Rouge,1970,140,7.9,91.0,25826,0.37
905,Down by Law,1986,107,7.7,75.0,52142,1.44
906,The Way He Looks,2014,96,7.9,71.0,25790,0.1
907,After the Wedding,2006,120,7.7,78.0,35060,0.41
908,Ivan's Childhood,1962,95,8.0,Null,37050,Null
909,"4 Months, 3 Weeks and 2 Days",2007,113,7.9,97.0,60757,1.19
910,The Caine Mutiny,1954,124,7.7,63.0,28103,21.75
911,Beauty and the Beast,1946,93,7.9,92.0,26750,0.3
912,Inherit the Wind,1960,128,8.1,75.0,30583,Null
913,Pink,2016,136,8.1,Null,45547,1.24
