movie_id,movie_title,budget
24969,Stealth,135000000
85145,Watchmen,130000000
69139,Lethal Weapon 4,140000000
46783,Hulk,137000000
89112,G.I. Joe: Retaliation,130000000
76565,Sahara,130000000
18619,Final Fantasy: The Spirits Within,137000000
42253,Captain America: The First Avenger,140000000
16605,The World Is Not Enough,135000000
82324,Master and Commander: The Far Side of the World,150000000
31206,The Twilight Saga: Breaking Dawn - Part 2,120000000
25051,Happy Feet Two,130000000
97256,The Incredible Hulk,150000000
35967,The BFG,140000000
26617,The Revenant,135000000
49448,Turbo,135000000
82434,Rango,135000000
12224,Penguins of Madagascar,132000000
94640,The Bourne Ultimatum,70000000
11773,Kung Fu Panda,130000000
98229,Ant-Man,130000000
99327,The Hunger Games: Catching Fire,130000000
88131,Home,135000000
59917,War of the Worlds,132000000
11178,Bad Boys II,130000000
18451,Puss in Boots,130000000
45213,Salt,110000000
51676,Noah,125000000
43503,The Adventures of Tintin,130000000
47296,Harry Potter and the Prisoner of Azkaban,130000000
62814,Australia,130000000
44522,After Earth,130000000
99794,Dinosaur,127500000
53876,Night at the Museum: Secret of the Tomb,127000000
60109,Megamind,130000000
77606,Harry Potter and the Philosopher's Stone,125000000
79335,R.I.P.D.,130000000
20641,Pirates of the Caribbean: The Curse of the Black Pearl,140000000
56261,The Hunger Games: Mockingjay - Part 1,125000000
87771,The Da Vinci Code,125000000
96615,Rio 2,103000000
49186,X2,110000000
53282,Fast Five,125000000
85142,Sherlock Holmes: A Game of Shadows,125000000
17017,Clash of the Titans,125000000
37650,Total Recall,65000000
72902,The 13th Warrior,160000000
78160,The Bourne Legacy,130000000
79712,Batman & Robin,125000000
38601,How the Grinch Stole Christmas,123000000
12720,The Day After Tomorrow,125000000
16171,Mission: Impossible II,125000000
92009,The Perfect Storm,120000000
45936,4: Rise of the Silver Surfer,130000000
28356,Life of Pi,120000000
76398,Ghost Rider,110000000
94442,Jason Bourne,120000000
91673,Charlie's Angels: Full Throttle,120000000
48027,Prometheus,130000000
72619,Stuart Little 2,120000000
69223,Elysium,115000000
57597,The Chronicles of Riddick,105000000
