,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
58,A Clockwork Orange,1971,R,"['Crime', ' Sci-Fi']",136,8.3,77,828989,83.0
59,About Time,2013,R,"['Comedy', ' Drama', ' Fantasy']",123,7.8,55,351388,78.0
60,Spiderhead,2022,R,"['Action', ' Crime', ' Drama']",106,5.4,54,55827,54.0
61,Ready Player One,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",140,7.4,64,436452,74.0
62,Zack Snyder's Justice League,2021,R,"['Action', ' Adventure', ' Fantasy']",242,8.0,54,396950,80.0
63,Arrival,2016,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",116,7.9,81,693501,79.0
64,Captain America: The First Avenger,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,66,844328,69.0
65,Minions: The Rise of Gru,2022,PG,"['Animation', ' Adventure', ' Comedy']",87,6.6,56,62388,66.0
66,Man of Steel,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,7.1,55,771602,71.0
67,The Fifth Element,1997,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,7.6,52,474984,76.0
68,Shang-Chi and the Legend of the Ten Rings,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",132,7.4,71,379297,74.0
69,Aquaman,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",143,6.8,55,474284,68.0
70,The Avengers,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,8.0,69,1388006,80.0
71,The Adam Project,2022,PG-13,"['Action', ' Adventure', ' Comedy']",106,6.7,55,199727,67.0
72,Lightyear,2022,PG,"['Animation', ' Action', ' Adventure']",100,6.0,60,102563,60.0
73,Sonic the Hedgehog 2,2022,PG,"['Action', ' Adventure', ' Comedy']",122,6.5,47,65794,65.0
74,Cargo,2017,TV-MA,"['Drama', ' Horror', ' Sci-Fi']",105,6.3,65,44293,63.0
75,Donnie Darko,2001,R,"['Drama', ' Mystery', ' Sci-Fi']",113,8.0,88,801424,80.0
76,Idiocracy,2006,R,"['Adventure', ' Comedy', ' Sci-Fi']",84,6.5,66,165059,65.0
77,The Mist,2007,R,"['Horror', ' Sci-Fi', ' Thriller']",126,7.1,58,313126,71.0
78,Significant Other,2022,R,"['Drama', ' Mystery', ' Sci-Fi']",84,5.7,57,5640,57.0
79,Dual,2022,R,"['Comedy', ' Drama', ' Sci-Fi']",94,5.8,62,8470,58.0
80,Suicide Squad,2016,PG-13,"['Action', ' Adventure', ' Fantasy']",123,5.9,40,685725,59.0
81,Terminator 2: Judgment Day,1991,R,"['Action', ' Sci-Fi']",137,8.6,75,1095785,86.0
82,Thor: Ragnarok,2017,PG-13,"['Action', ' Adventure', ' Comedy']",130,7.9,74,750070,79.0
83,Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,"['Action', ' Adventure', ' Fantasy']",141,6.5,53,450485,65.0
84,Godzilla vs. Kong,2021,PG-13,"['Action', ' Sci-Fi', ' Thriller']",113,6.3,59,209325,63.0
85,Star Trek,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,7.9,82,604440,79.0
86,Her,2013,R,"['Drama', ' Romance', ' Sci-Fi']",126,8.0,91,612840,80.0
87,The Martian,2015,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",144,8.0,80,852188,80.0
88,The Munsters,2022,PG,"['Comedy', ' Family', ' Fantasy']",109,4.5,57,8908,45.0
89,A Quiet Place,2018,PG-13,"['Drama', ' Horror', ' Sci-Fi']",90,7.5,82,528287,75.0
90,Event Horizon,1997,R,"['Horror', ' Sci-Fi', ' Thriller']",96,6.6,35,182446,66.0
91,Mr. Nobody,2009,R,"['Drama', ' Fantasy', ' Romance']",141,7.8,63,234557,78.0
92,The Terminator,1984,R,"['Action', ' Sci-Fi']",107,8.1,84,863815,81.0
93,Edge of Tomorrow,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",113,7.9,71,678364,79.0
94,Transformers,2007,PG-13,"['Action', ' Adventure', ' Sci-Fi']",144,7.0,61,638662,70.0
95,2001: A Space Odyssey,1968,G,"['Adventure', ' Sci-Fi']",149,8.3,84,668151,83.0
96,The Hunger Games: Catching Fire,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",146,7.5,76,665696,75.0
97,V for Vendetta,2005,R,"['Action', ' Drama', ' Sci-Fi']",132,8.2,62,1120743,82.0
98,Green Lantern,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,5.5,39,286261,55.0
99,The Day After Tomorrow,2004,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.4,47,449925,64.0
100,Star Wars: Episode VII - The Force Awakens,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",138,7.8,80,929637,78.0
101,Watchmen,2009,R,"['Action', ' Drama', ' Mystery']",162,7.6,56,552920,76.0
102,Logan,2017,R,"['Action', ' Drama', ' Sci-Fi']",137,8.1,77,761284,81.0
103,Snowpiercer,2013,R,"['Action', ' Sci-Fi', ' Thriller']",126,7.1,84,362212,71.0
104,The Thing,1982,R,"['Horror', ' Mystery', ' Sci-Fi']",109,8.2,57,425794,82.0
105,E.T. the Extra-Terrestrial,1982,PG,"['Adventure', ' Family', ' Sci-Fi']",115,7.9,91,410360,79.0
106,Spider-Man: Homecoming,2017,PG-13,"['Action', ' Adventure', ' Sci-Fi']",133,7.4,73,655349,74.0
107,Divergent,2014,PG-13,"['Action', ' Adventure', ' Mystery']",139,6.6,48,461689,66.0
108,Ex Machina,2014,R,"['Drama', ' Sci-Fi', ' Thriller']",108,7.7,78,545669,77.0
109,Jurassic World,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,59,643256,69.0
110,Men in Black,1997,PG-13,"['Action', ' Adventure', ' Comedy']",98,7.3,71,569603,73.0
