,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
248,Gattaca,1997,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",106,7.8,64,305820,78.0
249,Escape from New York,1981,R,"['Action', ' Adventure', ' Sci-Fi']",99,7.1,76,144227,71.0
250,The Abyss,1989,PG-13,"['Adventure', ' Drama', ' Mystery']",140,7.5,62,179045,75.0
251,Spy Kids,2001,PG,"['Action', ' Adventure', ' Comedy']",88,5.6,71,118734,56.0
252,Mars Attacks!,1996,PG-13,"['Comedy', ' Sci-Fi']",106,6.4,52,229360,64.0
253,The Giver,2014,PG-13,"['Drama', ' Romance', ' Sci-Fi']",97,6.4,47,120318,64.0
254,Moon,2009,R,"['Drama', ' Mystery', ' Sci-Fi']",97,7.8,67,360323,78.0
255,Love and Monsters,2020,PG-13,"['Action', ' Adventure', ' Comedy']",109,6.9,63,128243,69.0
256,Planet of the Apes,2001,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,5.7,50,220936,57.0
257,I Am Number Four,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",111,6.1,36,238955,61.0
258,Brightburn,2019,R,"['Drama', ' Horror', ' Mystery']",90,6.1,44,99060,61.0
259,Hellboy,2019,R,"['Action', ' Adventure', ' Fantasy']",120,5.2,31,91213,52.0
260,Titane,2021,R,"['Drama', ' Horror', ' Sci-Fi']",108,6.6,75,46084,66.0
261,Resident Evil,2002,R,"['Action', ' Horror', ' Sci-Fi']",100,6.6,33,272962,66.0
262,The Matrix Reloaded,2003,R,"['Action', ' Sci-Fi']",138,7.2,62,595678,72.0
263,Overlord,2018,R,"['Action', ' Horror', ' Sci-Fi']",110,6.6,60,100086,66.0
264,Men in Black 3,2012,PG-13,"['Action', ' Adventure', ' Comedy']",106,6.8,58,364762,68.0
265,Fantastic Four,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",100,4.3,27,168242,43.0
266,The Mitchells vs the Machines,2021,PG,"['Animation', ' Adventure', ' Comedy']",114,7.6,81,108831,76.0
267,Black Crab,2022,TV-MA,"['Action', ' Adventure', ' Drama']",114,5.7,54,21271,57.0
268,The Lost World: Jurassic Park,1997,PG-13,"['Action', ' Adventure', ' Sci-Fi']",129,6.5,59,419208,65.0
269,Melancholia,2011,R,"['Drama', ' Sci-Fi']",135,7.1,80,184155,71.0
270,The Fly,1986,R,"['Drama', ' Horror', ' Sci-Fi']",96,7.6,79,184669,76.0
271,Bloodshot,2020,PG-13,"['Action', ' Adventure', ' Sci-Fi']",109,5.7,44,78527,57.0
272,Godzilla,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.4,62,415304,64.0
273,Brazil,1985,R,"['Drama', ' Sci-Fi']",132,7.9,84,201792,79.0
274,Cyborg,1989,R,"['Action', ' Sci-Fi', ' Thriller']",86,5.0,24,31923,50.0
275,Vivarium,2019,R,"['Horror', ' Mystery', ' Sci-Fi']",97,5.8,64,60243,58.0
276,The Amazing Spider-Man 2,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",142,6.6,53,498859,66.0
277,Wreck-It Ralph,2012,PG,"['Animation', ' Adventure', ' Comedy']",101,7.7,72,423863,77.0
278,The Friendship Game,2022,,['Sci-Fi'],87,3.4,26,405,34.0
279,Secret Headquarters,2022,PG,"['Action', ' Adventure', ' Comedy']",104,5.1,47,4831,51.0
280,Superman Returns,2006,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,6.1,72,284237,61.0
281,Signs,2002,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",106,6.8,59,364815,68.0
282,Downsizing,2017,R,"['Drama', ' Fantasy', ' Sci-Fi']",135,5.8,63,111797,58.0
283,Logan's Run,1976,PG,"['Action', ' Adventure', ' Sci-Fi']",119,6.8,53,57294,68.0
284,Jumper,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",88,6.1,35,308424,61.0
285,A Cure for Wellness,2016,R,"['Drama', ' Fantasy', ' Horror']",146,6.4,47,100078,64.0
286,Ant-Man and the Wasp,2018,PG-13,"['Action', ' Adventure', ' Comedy']",118,7.0,70,402142,70.0
287,Coherence,2013,Not Rated,"['Drama', ' Mystery', ' Sci-Fi']",89,7.2,65,129587,72.0
288,Finch,2021,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",115,6.9,57,83028,69.0
289,Terminator Genisys,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,6.3,38,279244,63.0
290,Mad God,2021,,"['Animation', ' Fantasy', ' Horror']",83,6.8,80,8510,68.0
291,Star Trek: The Motion Picture,1979,G,"['Adventure', ' Mystery', ' Sci-Fi']",131,6.4,50,91120,64.0
292,Star Trek VI: The Undiscovered Country,1991,PG,"['Action', ' Adventure', ' Sci-Fi']",110,7.2,65,76634,72.0
293,Treasure Planet,2002,PG,"['Animation', ' Adventure', ' Family']",95,7.2,60,119996,72.0
294,Bill & Ted Face the Music,2020,PG-13,"['Adventure', ' Comedy', ' Music']",91,5.9,65,48271,59.0
295,Chaos Walking,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",109,5.7,38,48942,57.0
296,Big Hero 6,2014,PG,"['Animation', ' Action', ' Adventure']",102,7.8,74,462256,78.0
297,Godzilla: King of the Monsters,2019,PG-13,"['Action', ' Adventure', ' Fantasy']",132,6.0,48,183778,60.0
298,Atlantis: The Lost Empire,2001,PG,"['Animation', ' Action', ' Adventure']",95,6.9,52,121439,69.0
299,Kong: Skull Island,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",118,6.6,62,320454,66.0
300,I Am Legend,2007,PG-13,"['Action', ' Drama', ' Sci-Fi']",101,7.2,65,758358,72.0
301,The 5th Wave,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,5.2,33,110622,52.0
302,Star Trek Into Darkness,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,7.7,72,484476,77.0
303,Firestarter,2022,R,"['Drama', ' Horror', ' Sci-Fi']",94,4.6,32,15648,46.0
304,Land of the Lost,2009,PG-13,"['Action', ' Adventure', ' Comedy']",102,5.3,32,71948,53.0
305,"Honey, I Shrunk the Kids",1989,PG,"['Adventure', ' Comedy', ' Family']",93,6.4,63,156238,64.0
306,Boss Level,2020,TV-MA,"['Action', ' Adventure', ' Comedy']",100,6.8,56,68335,68.0
307,Project Wolf Hunting,2022,,"['Action', ' Crime', ' Sci-Fi']",122,6.2,55,847,62.0
308,The World's End,2013,R,"['Action', ' Comedy', ' Sci-Fi']",109,6.9,81,283540,69.0
309,Incredibles 2,2018,PG,"['Animation', ' Action', ' Adventure']",118,7.6,80,297570,76.0
310,Super 8,2011,PG-13,"['Action', ' Mystery', ' Sci-Fi']",112,7.0,72,355393,70.0
311,How It Ends,2018,TV-MA,"['Action', ' Drama', ' Horror']",113,5.0,36,53844,50.0
312,I Am Mother,2019,TV-14,"['Drama', ' Mystery', ' Sci-Fi']",113,6.7,64,91889,67.0
313,X-Men: The Last Stand,2006,PG-13,"['Action', ' Adventure', ' Sci-Fi']",104,6.6,58,518423,66.0
314,Teenage Mutant Ninja Turtles,2014,PG-13,"['Action', ' Adventure', ' Comedy']",101,5.8,31,211805,58.0
315,The Cell,2000,R,"['Crime', ' Horror', ' Sci-Fi']",107,6.4,40,103812,64.0
316,Hellboy,2004,PG-13,"['Action', ' Adventure', ' Fantasy']",122,6.8,72,330923,68.0
317,Hollow Man,2000,R,"['Action', ' Horror', ' Sci-Fi']",112,5.8,24,132490,58.0
318,Alien³,1992,R,"['Action', ' Horror', ' Sci-Fi']",114,6.4,59,301777,64.0
319,Back to the Future Part III,1990,PG,"['Adventure', ' Comedy', ' Sci-Fi']",118,7.4,55,447857,74.0
320,Isle of Dogs,2018,PG-13,"['Animation', ' Adventure', ' Comedy']",101,7.8,82,169807,78.0
321,X-Men: Dark Phoenix,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",113,5.7,43,188241,57.0
322,Alien: Resurrection,1997,R,"['Action', ' Horror', ' Sci-Fi']",109,6.2,63,249153,62.0
323,Robots,2005,PG,"['Animation', ' Adventure', ' Comedy']",91,6.4,64,148937,64.0
324,Metropolis,1927,Not Rated,"['Drama', ' Sci-Fi']",153,8.3,98,175043,83.0
325,RoboCop,2014,PG-13,"['Action', ' Crime', ' Sci-Fi']",117,6.2,52,229701,62.0
326,Jupiter Ascending,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,5.3,40,189336,53.0
327,Dredd,2012,R,"['Action', ' Crime', ' Sci-Fi']",95,7.1,60,276948,71.0
328,Real Genius,1985,PG,"['Comedy', ' Romance', ' Sci-Fi']",108,6.9,71,35073,69.0
329,The Meg,2018,PG-13,"['Action', ' Horror', ' Sci-Fi']",113,5.6,46,172529,56.0
330,The Midnight Sky,2020,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",118,5.6,58,83802,56.0
331,Ghost in the Shell,2017,PG-13,"['Action', ' Crime', ' Drama']",107,6.3,52,216120,63.0
332,Blast from the Past,1999,PG-13,"['Comedy', ' Drama', ' Romance']",112,6.7,48,66283,67.0
333,Sunshine,2007,R,"['Sci-Fi', ' Thriller']",107,7.2,64,251897,72.0
334,The Dead Don't Die,2019,R,"['Comedy', ' Fantasy', ' Horror']",104,5.4,53,79296,54.0
335,Hulk,2003,PG-13,"['Action', ' Sci-Fi']",138,5.6,54,269288,56.0
336,Dark City,1998,R,"['Fantasy', ' Mystery', ' Sci-Fi']",100,7.6,66,201196,76.0
337,Scooby-Doo 2: Monsters Unleashed,2004,PG,"['Adventure', ' Comedy', ' Family']",93,5.1,34,58840,51.0
338,Explorers,1985,PG,"['Adventure', ' Comedy', ' Family']",109,6.4,58,22378,64.0
339,Sorry to Bother You,2018,R,"['Comedy', ' Drama', ' Fantasy']",112,6.9,80,80453,69.0
340,X2: X-Men United,2003,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,7.4,68,551690,74.0
341,The Hitchhiker's Guide to the Galaxy,2005,PG,"['Adventure', ' Comedy', ' Sci-Fi']",109,6.7,63,199868,67.0
342,Battleship,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,5.8,41,249194,58.0
343,Lilo & Stitch,2002,PG,"['Animation', ' Adventure', ' Comedy']",85,7.3,73,192292,73.0
344,The Purge,2013,R,"['Horror', ' Sci-Fi', ' Thriller']",85,5.7,41,225628,57.0
345,Total Recall,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,6.2,43,255814,62.0
346,Sky High,2005,PG,"['Action', ' Comedy', ' Family']",100,6.3,62,88335,63.0
347,Pitch Black,2000,R,"['Action', ' Horror', ' Sci-Fi']",109,7.1,49,241375,71.0
348,Escape Room: Tournament of Champions,2021,PG-13,"['Action', ' Adventure', ' Horror']",88,5.7,48,46054,57.0
349,Men in Black: International,2019,PG-13,"['Action', ' Adventure', ' Comedy']",114,5.6,38,135500,56.0
350,The Island,2005,PG-13,"['Action', ' Sci-Fi', ' Thriller']",136,6.8,50,317432,68.0
351,1984,1984,R,"['Drama', ' Sci-Fi']",113,7.1,67,73164,71.0
352,The Wolverine,2013,PG-13,"['Action', ' Sci-Fi']",126,6.7,61,468336,67.0
353,After Yang,2021,PG,"['Drama', ' Sci-Fi']",96,6.6,78,13459,66.0
354,Mission to Mars,2000,PG,"['Adventure', ' Sci-Fi', ' Thriller']",114,5.6,34,74005,56.0
355,Deja Vu,2006,PG-13,"['Action', ' Crime', ' Sci-Fi']",126,7.1,59,312797,71.0
356,Akira,1988,R,"['Animation', ' Action', ' Drama']",124,8.0,67,187533,80.0
357,The Iron Giant,1999,PG,"['Animation', ' Action', ' Adventure']",86,8.1,85,198935,81.0
358,Unbreakable,2000,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",106,7.3,62,419231,73.0
359,Mortal Engines,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",128,6.1,44,127475,61.0
360,The City of Lost Children,1995,R,"['Drama', ' Fantasy', ' Sci-Fi']",112,7.5,73,69114,75.0
361,Mary Shelley's Frankenstein,1994,R,"['Drama', ' Horror', ' Romance']",123,6.3,49,56104,63.0
362,The Road Warrior,1981,R,"['Action', ' Adventure', ' Sci-Fi']",96,7.6,77,182005,76.0
363,The Cloverfield Paradox,2018,PG-13,"['Action', ' Horror', ' Sci-Fi']",102,5.5,37,106156,55.0
364,Star Trek II: The Wrath of Khan,1982,PG,"['Action', ' Adventure', ' Sci-Fi']",113,7.7,68,122561,77.0
365,Cloverfield,2008,PG-13,"['Action', ' Adventure', ' Horror']",85,7.0,64,400793,70.0
366,Upgrade,2018,R,"['Action', ' Sci-Fi', ' Thriller']",100,7.5,67,186841,75.0
367,Demolition Man,1993,R,"['Action', ' Sci-Fi', ' Thriller']",115,6.7,34,178281,67.0
368,Mystery Men,1999,PG-13,"['Action', ' Comedy', ' Fantasy']",121,6.1,65,67816,61.0
369,Ghostbusters II,1989,PG,"['Action', ' Comedy', ' Fantasy']",108,6.6,56,208976,66.0
370,Transformers: Dark of the Moon,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,6.2,42,410050,62.0
371,Voyagers,2021,PG-13,"['Adventure', ' Sci-Fi', ' Thriller']",108,5.4,44,21692,54.0
372,Reminiscence,2021,PG-13,"['Mystery', ' Romance', ' Sci-Fi']",116,5.9,46,56345,59.0
373,Blade II,2002,R,"['Action', ' Horror', ' Sci-Fi']",117,6.7,52,220593,67.0
374,The Adjustment Bureau,2011,PG-13,"['Romance', ' Sci-Fi', ' Thriller']",106,7.0,60,259151,70.0
375,The Lego Batman Movie,2017,PG,"['Animation', ' Action', ' Adventure']",104,7.3,75,153019,73.0
376,Terminator 3: Rise of the Machines,2003,R,"['Action', ' Sci-Fi']",109,6.3,66,401171,63.0
377,High Life,2018,R,"['Adventure', ' Drama', ' Horror']",113,5.8,77,36502,58.0
378,UHF,1989,PG-13,"['Comedy', ' Sci-Fi']",97,6.9,32,29310,69.0
379,Earth Girls Are Easy,1988,PG,"['Comedy', ' Musical', ' Romance']",100,5.4,66,23712,54.0
380,Soylent Green,1973,PG,"['Crime', ' Mystery', ' Sci-Fi']",97,7.0,66,65952,70.0
381,Despicable Me 2,2013,PG,"['Animation', ' Adventure', ' Comedy']",98,7.3,62,401882,73.0
382,Masters of the Universe,1987,PG,"['Action', ' Adventure', ' Fantasy']",106,5.3,35,41421,53.0
383,Fantastic Four,2005,PG-13,"['Action', ' Adventure', ' Fantasy']",106,5.7,40,331337,57.0
384,Jexi,2019,R,"['Comedy', ' Romance', ' Sci-Fi']",84,6.0,39,27935,60.0
385,Mother/Android,2021,R,"['Drama', ' Sci-Fi', ' Thriller']",110,4.9,43,19186,49.0
386,Cloudy with a Chance of Meatballs,2009,PG,"['Animation', ' Adventure', ' Comedy']",90,6.9,66,234723,69.0
387,Bumblebee,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,6.7,66,166359,67.0
388,Rise of the Planet of the Apes,2011,PG-13,"['Action', ' Drama', ' Sci-Fi']",105,7.6,68,529929,76.0
389,Pokémon Detective Pikachu,2019,PG,"['Action', ' Adventure', ' Comedy']",104,6.5,53,164180,65.0
390,Bill & Ted's Excellent Adventure,1989,PG,"['Adventure', ' Comedy', ' Music']",90,6.9,50,132492,69.0
391,Journey 2: The Mysterious Island,2012,PG,"['Action', ' Adventure', ' Comedy']",94,5.7,41,105456,57.0
392,The Fountain,2006,PG-13,"['Drama', ' Mystery', ' Romance']",97,7.2,51,240113,72.0
393,Real Steel,2011,PG-13,"['Action', ' Drama', ' Sci-Fi']",127,7.0,56,330858,70.0
394,Terminator Salvation,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",115,6.5,49,363516,65.0
395,Blade: Trinity,2004,R,"['Action', ' Horror', ' Sci-Fi']",113,5.8,38,179309,58.0
396,The Chronicles of Riddick,2004,R,"['Action', ' Adventure', ' Sci-Fi']",119,6.6,38,230180,66.0
397,Short Circuit,1986,PG,"['Comedy', ' Family', ' Sci-Fi']",98,6.6,50,62746,66.0
398,Tomorrowland,2015,PG,"['Action', ' Adventure', ' Family']",130,6.4,60,183549,64.0
399,The Circle,2017,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",110,5.3,43,93587,53.0
400,Star Trek IV: The Voyage Home,1986,PG,"['Action', ' Adventure', ' Comedy']",119,7.3,71,86425,73.0
401,Outside the Wire,2021,R,"['Action', ' Adventure', ' Fantasy']",114,5.4,45,42899,54.0
402,Transformers: Revenge of the Fallen,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",149,5.9,35,408146,59.0
403,Slash/Back,2022,,"['Adventure', ' Horror', ' Sci-Fi']",86,5.7,67,823,57.0
404,The Rocketeer,1991,PG,"['Action', ' Adventure', ' Family']",108,6.5,61,58545,65.0
405,Solaris,1972,PG,"['Drama', ' Mystery', ' Sci-Fi']",167,8.0,90,92044,80.0
406,Never Let Me Go,2010,R,"['Drama', ' Romance', ' Sci-Fi']",103,7.1,69,146959,71.0
407,The Endless,2017,Not Rated,"['Drama', ' Fantasy', ' Horror']",111,6.5,80,43679,65.0
408,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,PG-13,"['Action', ' Adventure', ' Comedy']",112,5.9,40,93940,59.0
409,On the Silver Globe,1988,Unrated,"['Adventure', ' Drama', ' Fantasy']",166,7.2,72,3536,72.0
410,Deep Blue Sea,1999,R,"['Action', ' Adventure', ' Sci-Fi']",105,5.9,54,135007,59.0
411,Despicable Me 3,2017,PG,"['Animation', ' Adventure', ' Comedy']",89,6.2,49,136981,62.0
412,The Wraith,1986,PG-13,"['Action', ' Horror', ' Romance']",93,5.9,39,17257,59.0
413,Escape from L.A.,1996,R,"['Action', ' Adventure', ' Sci-Fi']",101,5.7,54,75741,57.0
414,Æon Flux,2005,PG-13,"['Action', ' Adventure', ' Sci-Fi']",93,5.4,36,129318,54.0
415,Rampage,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",107,6.1,45,169411,61.0
416,Time Bandits,1981,PG,"['Adventure', ' Comedy', ' Fantasy']",110,6.9,79,64390,69.0
417,The Divergent Series: Insurgent,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,6.2,42,239403,62.0
418,Color Out of Space,2019,Unrated,"['Horror', ' Mystery', ' Sci-Fi']",111,6.2,70,48894,62.0
419,Replicas,2018,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",107,5.4,19,39034,54.0
420,Journey to the Center of the Earth,2008,PG,"['Action', ' Adventure', ' Family']",93,5.8,57,123975,58.0
421,Bolt,2008,PG,"['Animation', ' Adventure', ' Comedy']",96,6.8,67,212582,68.0
422,Howard the Duck,1986,PG,"['Action', ' Adventure', ' Comedy']",110,4.7,28,47791,47.0
423,Possessor,2020,R,"['Horror', ' Mystery', ' Sci-Fi']",103,6.5,72,37002,65.0
424,Mortal Kombat,1995,PG-13,"['Action', ' Adventure', ' Fantasy']",101,5.8,60,118955,58.0
425,The Matrix Revolutions,2003,R,"['Action', ' Sci-Fi']",129,6.7,47,514345,67.0
426,Alien vs. Predator,2004,PG-13,"['Action', ' Adventure', ' Horror']",101,5.6,29,202142,56.0
427,G.I. Joe: The Rise of Cobra,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,5.7,32,209493,57.0
428,Home,2015,PG,"['Animation', ' Adventure', ' Comedy']",94,6.6,55,103536,66.0
429,Ender's Game,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,6.6,51,241877,66.0
430,"I, Robot",2004,PG-13,"['Action', ' Mystery', ' Sci-Fi']",115,7.1,59,541698,71.0
431,Ralph Breaks the Internet,2018,PG,"['Animation', ' Adventure', ' Comedy']",112,7.0,71,162201,70.0
432,Space Jam,1996,PG,"['Animation', ' Adventure', ' Comedy']",88,6.5,59,198962,65.0
433,Predator 2,1990,R,"['Action', ' Horror', ' Sci-Fi']",108,6.3,46,170201,63.0
434,The Adventures of Sharkboy and Lavagirl 3-D,2005,PG,"['Action', ' Adventure', ' Comedy']",93,3.7,38,38566,37.0
435,The Colony,2021,R,"['Action', ' Adventure', ' Sci-Fi']",104,5.4,52,9619,54.0
436,Zathura: A Space Adventure,2005,PG,"['Action', ' Adventure', ' Comedy']",101,6.2,67,106012,62.0
438,Maze Runner: The Death Cure,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,6.2,50,141484,62.0
439,The Happening,2008,R,"['Adventure', ' Drama', ' Sci-Fi']",91,5.0,34,208211,50.0
440,The League of Extraordinary Gentlemen,2003,PG-13,"['Action', ' Adventure', ' Fantasy']",110,5.8,30,177180,58.0
441,The Core,2003,PG-13,"['Action', ' Adventure', ' Sci-Fi']",135,5.5,48,101626,55.0
442,Strange Days,1995,R,"['Crime', ' Drama', ' Sci-Fi']",145,7.1,66,72578,71.0
443,The Girl with All the Gifts,2016,R,"['Action', ' Adventure', ' Drama']",111,6.6,67,60532,66.0
444,Chronicle,2012,PG-13,"['Action', ' Drama', ' Sci-Fi']",84,7.0,69,252986,70.0
445,Chappie,2015,R,"['Action', ' Crime', ' Drama']",120,6.8,41,253207,68.0
446,Allegiant,2016,PG-13,"['Action', ' Adventure', ' Mystery']",120,5.7,33,123555,57.0
447,Invasion of the Body Snatchers,1978,PG,"['Horror', ' Sci-Fi']",115,7.4,75,61887,74.0
448,The Day the Earth Stood Still,2008,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",104,5.5,40,171744,55.0
449,Flash Gordon,1980,PG,"['Action', ' Adventure', ' Sci-Fi']",111,6.5,58,57295,65.0
450,Geostorm,2017,PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,5.3,21,109081,53.0
451,Jurassic Park III,2001,PG-13,"['Action', ' Adventure', ' Sci-Fi']",92,5.9,42,323825,59.0
452,"Dude, Where's My Car?",2000,PG-13,"['Comedy', ' Mystery', ' Sci-Fi']",83,5.5,30,140895,55.0
453,Space Jam: A New Legacy,2021,PG,"['Animation', ' Adventure', ' Comedy']",115,4.5,36,72121,45.0
454,Speed Racer,2008,PG,"['Action', ' Adventure', ' Comedy']",135,6.0,37,74452,60.0
455,Hotel Artemis,2018,R,"['Action', ' Crime', ' Drama']",94,6.1,58,54241,61.0
456,Belle,2021,PG,"['Animation', ' Adventure', ' Drama']",121,7.1,83,12211,71.0
457,Assassin's Creed,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",115,5.6,36,200121,56.0
458,Riddick,2013,R,"['Action', ' Adventure', ' Sci-Fi']",119,6.4,49,167757,64.0
459,Tron,1982,PG,"['Action', ' Adventure', ' Sci-Fi']",96,6.7,58,122667,67.0
460,Star Trek III: The Search for Spock,1984,PG,"['Action', ' Adventure', ' Sci-Fi']",105,6.6,56,81463,66.0
461,The Time Machine,2002,PG-13,"['Action', ' Adventure', ' Sci-Fi']",96,5.9,42,125500,59.0
462,City of Ember,2008,PG,"['Adventure', ' Family', ' Fantasy']",90,6.4,58,66727,64.0
463,Independence Day: Resurgence,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",120,5.2,32,180658,52.0
464,Cube,1997,R,"['Drama', ' Horror', ' Mystery']",90,7.2,61,232579,72.0
465,Okja,2017,TV-MA,"['Action', ' Adventure', ' Drama']",120,7.3,75,122449,73.0
466,Flight of the Navigator,1986,PG,"['Adventure', ' Comedy', ' Family']",90,6.9,64,48885,69.0
467,War for the Planet of the Apes,2017,PG-13,"['Action', ' Adventure', ' Drama']",140,7.4,82,258343,74.0
468,The Lego Movie 2: The Second Part,2019,PG,"['Animation', ' Action', ' Adventure']",107,6.6,65,67554,66.0
469,Doomsday,2008,R,"['Action', ' Sci-Fi', ' Thriller']",105,5.9,51,77756,59.0
470,Chopping Mall,1986,R,"['Comedy', ' Horror', ' Sci-Fi']",77,5.6,22,15215,56.0
471,Pandorum,2009,R,"['Action', ' Horror', ' Mystery']",108,6.7,28,152545,67.0
472,The Thing,2011,R,"['Horror', ' Mystery', ' Sci-Fi']",103,6.2,49,133940,62.0
473,9,2009,PG-13,"['Animation', ' Action', ' Adventure']",79,7.0,60,141211,70.0
474,Clifford the Big Red Dog,2021,PG,"['Animation', ' Adventure', ' Comedy']",96,5.9,55,13798,59.0
475,The Stepford Wives,2004,PG-13,"['Comedy', ' Horror', ' Sci-Fi']",93,5.3,42,66913,53.0
476,Dawn of the Planet of the Apes,2014,PG-13,"['Action', ' Adventure', ' Drama']",130,7.6,79,442886,76.0
477,Star Trek: Nemesis,2002,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,6.4,51,79993,64.0
478,The Postman,1997,R,"['Action', ' Adventure', ' Drama']",177,6.1,29,74646,61.0
479,Battlestar Galactica,1979,TV-PG,"['Action', ' Adventure', ' Sci-Fi']",60,7.2,39,16060,72.0
480,Next Exit,2022,,"['Comedy', ' Mystery', ' Romance']",106,5.6,59,567,56.0
481,Ghost in the Shell,1995,TV-MA,"['Animation', ' Action', ' Crime']",83,7.9,76,144064,79.0
482,Volcano,1997,PG-13,"['Action', ' Drama', ' Sci-Fi']",104,5.5,55,77567,55.0
483,Stowaway,2021,TV-MA,"['Adventure', ' Sci-Fi', ' Thriller']",116,5.6,63,46937,56.0
484,Snake Eyes,2021,PG-13,"['Action', ' Adventure', ' Crime']",121,5.4,43,38970,54.0
485,Solaris,2002,PG-13,"['Drama', ' Mystery', ' Romance']",99,6.2,65,83568,62.0
486,RoboCop 2,1990,R,"['Action', ' Crime', ' Sci-Fi']",117,5.8,42,87500,58.0
487,Lifeforce,1985,R,"['Action', ' Horror', ' Mystery']",101,6.1,50,26591,61.0
488,Meet the Robinsons,2007,G,"['Animation', ' Adventure', ' Comedy']",95,6.8,61,101531,68.0
489,Lost in Space,1998,PG-13,"['Action', ' Adventure', ' Family']",130,5.2,42,72965,52.0
490,Star Trek: First Contact,1996,PG-13,"['Action', ' Adventure', ' Drama']",111,7.6,71,126285,76.0
491,Monsters,2010,R,"['Adventure', ' Drama', ' Romance']",94,6.4,63,93356,64.0
492,Westworld,1973,PG,"['Action', ' Sci-Fi', ' Thriller']",88,6.9,77,59265,69.0
493,In the Shadow of the Moon,2019,TV-MA,"['Action', ' Crime', ' Mystery']",115,6.2,48,53951,62.0
494,Trollhunter,2010,PG-13,"['Drama', ' Fantasy', ' Horror']",103,6.9,61,75381,69.0
495,Battlefield Earth,2000,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,2.5,9,80540,25.0
496,The Handmaid's Tale,1990,R,"['Drama', ' Romance', ' Sci-Fi']",108,6.0,53,9954,60.0
497,Transcendence,2014,PG-13,"['Action', ' Drama', ' Sci-Fi']",119,6.2,42,230375,62.0
498,The Dark Tower,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",95,5.6,34,139620,56.0
499,Morgan,2016,R,"['Action', ' Horror', ' Sci-Fi']",92,5.8,48,43693,58.0
500,Species,1995,R,"['Action', ' Horror', ' Sci-Fi']",108,5.8,49,81135,58.0
501,Maggie,2015,PG-13,"['Drama', ' Horror', ' Sci-Fi']",95,5.6,52,44773,56.0
502,Ron's Gone Wrong,2021,PG,"['Animation', ' Adventure', ' Comedy']",107,7.0,65,34213,70.0
503,Predators,2010,R,"['Action', ' Adventure', ' Sci-Fi']",107,6.4,51,232995,64.0
504,Superhero Movie,2008,PG-13,"['Action', ' Comedy', ' Sci-Fi']",75,4.6,33,70008,46.0
505,Forbidden Planet,1956,G,"['Adventure', ' Sci-Fi']",98,7.5,80,50032,75.0
506,Videodrome,1983,R,"['Horror', ' Sci-Fi', ' Thriller']",87,7.2,60,94801,72.0
507,Rollerball,1975,Approved,"['Action', ' Sci-Fi', ' Sport']",125,6.6,56,25819,66.0
508,Moonraker,1979,PG,"['Action', ' Adventure', ' Sci-Fi']",126,6.2,66,102324,62.0
