movie_id,movie_title,rating
69139,Lethal Weapon 4,6.3
46783,Hulk,5.3
89112,G.I. Joe: Retaliation,5.4
76565,Sahara,5.7
18619,Final Fantasy: The Spirits Within,5.9
42253,Captain America: The First Avenger,6.6
16605,The World Is Not Enough,6
82324,Master and Commander: The Far Side of the World,6.9
31206,The Twilight Saga: Breaking Dawn - Part 2,6.1
25051,Happy Feet Two,5.8
97256,The Incredible Hulk,6.1
35967,The BFG,6
26617,The Revenant,7.3
49448,Turbo,6.1
82434,Rango,6.6
12224,Penguins of Madagascar,6.5
94640,The Bourne Ultimatum,7.3
11773,Kung Fu Panda,6.9
98229,Ant-Man,7
99327,The Hunger Games: Catching Fire,7.4
88131,Home,6.8
59917,War of the Worlds,6.2
11178,Bad Boys II,6.3
18451,Puss in Boots,6.4
45213,Salt,6.2
51676,Noah,5.6
43503,The Adventures of Tintin,6.7
47296,Harry Potter and the Prisoner of Azkaban,7.7
62814,Australia,6.3
44522,After Earth,5
99794,Dinosaur,6.2
53876,Night at the Museum: Secret of the Tomb,6.1
60109,Megamind,6.7
77606,Harry Potter and the Philosopher's Stone,7.5
79335,R.I.P.D.,5.4
20641,Pirates of the Caribbean: The Curse of the Black Pearl,7.5
56261,The Hunger Games: Mockingjay - Part 1,6.6
87771,The Da Vinci Code,6.5
96615,Rio 2,6.3
49186,X2,6.8
53282,Fast Five,7.1
85142,Sherlock Holmes: A Game of Shadows,7
17017,Clash of the Titans,5.6
37650,Total Recall,7.1
72902,The 13th Warrior,6.4
78160,The Bourne Legacy,6
79712,Batman & Robin,4.2
38601,How the Grinch Stole Christmas,6.2
12720,The Day After Tomorrow,6.2
16171,Mission: Impossible II,5.9
92009,The Perfect Storm,6.2
45936,4: Rise of the Silver Surfer,5.4
28356,Life of Pi,7.2
76398,Ghost Rider,5.2
94442,Jason Bourne,5.9
91673,Charlie's Angels: Full Throttle,5.2
48027,Prometheus,6.3
72619,Stuart Little 2,5.4
69223,Elysium,6.4
57597,The Chronicles of Riddick,6.3
50730,RoboCop,5.7
93815,Speed Racer,5.7
18581,How Do You Know,4.9
11271,Knight and Day,5.9
44500,Oblivion,6.4
70394,Star Wars: Episode III - Revenge of the Sith,7.1
85111,Star Wars: Episode II - Attack of the Clones,6.4
27813,"Monsters, Inc.",7.5
44846,The Wolverine,6.3
79922,Star Wars: Episode I - The Phantom Menace,6.3
79012,The Croods,6.8
24473,Astérix aux Jeux Olympiques,5
86541,Windtalkers,5.8
21395,The Huntsman: Winter's War,6
61601,Teenage Mutant Ninja Turtles,5.8
48054,Gravity,7.3
93336,Dante's Peak,5.7
51389,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8
66126,Fantastic Four,4.4
70876,Night at the Museum,6.3
79932,San Andreas,6
64774,Tomorrow Never Dies,6
60297,The Patriot,6.8
25066,Ocean's Twelve,6.4
90803,Mr. & Mrs. Smith,6.5
50318,Insurgent,6.2
25479,The Aviator,7
26184,Gulliver's Travels,4.9
46918,The Green Hornet,5.5
24169,300: Rise of an Empire,6.1
56458,The Smurfs,5.5
83516,Home on the Range,5.7
51653,Allegiant,5.9
86300,Real Steel,6.6
72857,The Smurfs 2,5.5
21128,Speed 2: Cruise Control,4.1
12512,Ender's Game,6.6
45441,Live Free or Die Hard,6.4
34484,The Lord of the Rings: The Fellowship of the Ring,8
18990,Around the World in 80 Days,5.7
65576,Ali,6.7
61231,The Cat in the Hat,4.9
23396,"I, Robot",6.7
38021,Kingdom of Heaven,6.6
22632,Stuart Little,5.8
58307,The Princess and the Frog,6.7
84430,The Martian,7.6
61452,The Island,6.5
52397,Town & Country,3.7
53612,Gone in Sixty Seconds,6.1
80925,Gladiator,7.9
33905,Minority Report,7.1
56936,Harry Potter and the Chamber of Secrets,7.4
94161,Casino Royale,7.3
23505,Planet of the Apes,5.6
75874,Terminator 2: Judgment Day,7.7
23599,Public Enemies,6.5
27971,American Gangster,7.4
33716,True Lies,6.8
83683,The Taking of Pelham 1 2 3,6.2
65856,Little Fockers,5.4
47939,The Other Guys,6.1
44283,Eraser,5.6
37892,Django Unchained,7.8
68915,The Hunchback of Notre Dame,6.8
12792,The Emperor's New Groove,7.2
25047,The Expendables 2,6.1
58880,National Treasure,6.4
28014,Eragon,4.9
71863,Where the Wild Things Are,6.4
91383,Epic,6.4
22343,The Tourist,6
19724,End of Days,5.5
34814,Blood Diamond,7.3
33641,The Wolf of Wall Street,7.9
68742,Batman Forever,5.2
35313,Starship Troopers,6.7
55583,Cloud Atlas,6.6
46107,Legend of the Guardians: The Owls of Ga'Hoole,6.5
98073,Catwoman,4.2
96548,Hercules,5.6
97540,Treasure Planet,7.2
21279,Land of the Lost,5.3
68217,The Expendables 3,6.1
79664,Point Break,5.5
47236,Son of the Mask,3.6
65233,In the Heart of the Sea,6.5
11318,The Adventures of Pluto Nash,4.4
47941,Green Zone,6.4
69580,The Peanuts Movie,6.5
60431,The Spanish Prisoner,7.1
81757,The Mummy Returns,6
37520,Gangs of New York,7.1
25485,金陵十三釵,7.1
86809,Surf's Up,5.9
73276,The Stepford Wives,5.4
88055,Black Hawk Down,7.2
81793,The Campaign,5.6
43637,The Fifth Element,7.3
25229,Sex and the City 2,5.4
15080,The Road to El Dorado,7
32610,Ice Age: Continental Drift,6.2
26896,Cinderella,6.7
67497,The Lovely Bones,6.6
